State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,Salt Lake City,Denver,1819,1846,3
Alaska,Juneau,Montpelier,Hartford,1959,1906,3
Arizona,Phoenix,Richmond,Dover,1912,1889,1
Arkansas,Little Rock,Olympia,Tallahassee,1836,1821,1
California,Sacramento,Charleston,Atlanta,1850,1854,6
Colorado,Denver,Madison,Honolulu,1876,1867,1
Connecticut,Hartford,Cheyenne,Boise,1788,1875,3
Delaware,Dover,Lincoln,Annapolis,1787,1777,2
Florida,Tallahassee,Carson City,Boston,1845,1824,7
Georgia,Atlanta,Concord,Lansing,1788,1868,1
Hawaii,Honolulu,Trenton,Saint Paul,1959,1845,1
Idaho,Boise,Santa Fe,Jackson,1890,1865,1
Illinois,Springfield,Albany,Concord,1818,1837,6
Indiana,Indianapolis,Raleigh,Trenton,1816,1825,1
Iowa,Des Moines,Bismarck,Santa Fe,1846,1857,1
Kansas,Topeka,Columbus,Albany,1861,1856,4
Kentucky,Frankfort,Indianapolis,Raleigh,1792,1792,15
Louisiana,Baton Rouge,Des Moines,Bismarck,1812,1880,2
Maine,Augusta,Topeka,Columbus,1820,1832,8
Maryland,Annapolis,Frankfort,Oklahoma City,1788,1694,7
Massachusetts,Boston,Baton Rouge,Salem,1788,1630,1
Michigan,Lansing,Augusta,Austin,1837,1847,5
Minnesota,Saint Paul,Annapolis,Salt Lake City,1858,1849,2
Mississippi,Jackson,Denver,Montpelier,1817,1821,1
Missouri,Jefferson City,Hartford,Richmond,1821,1826,15
Montana,Helena,Dover,Olympia,1889,1875,6
Nebraska,Lincoln,Tallahassee,Charleston,1867,1867,2
Nevada,Carson City,Atlanta,Madison,1864,1861,6
New Hampshire,Concord,Honolulu,Cheyenne,1788,1808,3
New Jersey,Trenton,Boise,Harrisburg,1787,1784,10
New Mexico,Santa Fe,Springfield,Providence,1912,1610,4
New York,Albany,Montgomery,Columbia,1788,1797,6
North Carolina,Raleigh,Juneau,Pierre,1789,1792,2
North Dakota,Bismarck,Phoenix,Nashville,1889,1883,2
Ohio,Columbus,Little Rock,Springfield,1803,1816,1
Oklahoma,Oklahoma City,Sacramento,Indianapolis,1907,1910,1
Oregon,Salem,Boston,Des Moines,1859,1855,3
Pennsylvania,Harrisburg,Lansing,Topeka,1787,1812,9
Rhode Island,Providence,Saint Paul,Frankfort,1790,1900,1
South Carolina,Columbia,Jackson,Baton Rouge,1788,1786,2
South Dakota,Pierre,Jefferson City,Augusta,1889,1889,8
Tennessee,Nashville,Helena,Jefferson City,1796,1826,1
Texas,Austin,Oklahoma City,Helena,1845,1839,4
Utah,Salt Lake City,Salem,Lincoln,1896,1858,1
Vermont,Montpelier,Harrisburg,Carson City,1791,1805,6
Virginia,Richmond,Providence,Montgomery,1788,1780,4
Washington,Olympia,Columbia,Juneau,1889,1853,24
West Virginia,Charleston,Pierre,Phoenix,1863,1885,1
Wisconsin,Madison,Nashville,Little Rock,1848,1838,2
Wyoming,Cheyenne,Austin,Sacramento,1890,1869,1
